"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"0790MS"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Bioengineering MS"
"0790PHD"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Bioengineering PhD"
"1850AM"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Computer Aided Design MA"
"1870MSE"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Computer Info & Contl Eng MSE"
"1870PHD"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Computer Info & Contl Eng PhD"
"5230MET"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Metallurgical Engineering MetE"
"5230MS"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Metallurgical Engineering MS"
"5230MSE"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Metallurgical Engineering MSE"
"5230"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Metallurgical Engineering"
"5230PHD"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Metallurgical Engineering PhD"
"7040CGR"	"KINES"	"School Of Kinesiology"	"1993/02/11 00:00:00"	"100"	"Phys Ed-Kinesiology CertGrad"
"7040AM"	"KINES"	"School Of Kinesiology"	"2007/06/06 00:00:00"	"100"	"Phys Ed-Kinesiology MA"
"7040MS"	"KINES"	"School Of Kinesiology"	"2007/06/06 00:00:00"	"100"	"Phys Ed-Kinesiology MS"
"7040PHD"	"KINES"	"School Of Kinesiology"	"2007/06/06 00:00:00"	"100"	"Phys Ed-Kinesiology PhD"
"7040"	"KINES"	"School Of Kinesiology"	"2007/06/06 00:00:00"	"100"	"Phys Ed-Kinesiology"
"0510AM"	"LS&A Socia"	"LS&A Social Science Department"	"2007/06/06 00:00:00"	"100"	"Applied Social Research MA"
"0650AM"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"Asian Studies MA"
"0650AM1"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"Asian Studies MA"
"7880MPP11"	"SPP"	"School Of Public Policy"	"2007/06/06 00:00:00"	"100"	"Public Policy MPP"
"0840MS"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Biological Sciences MS"
"0840"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Biological Sciences"
"0840PHD"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Biological Sciences PhD"
"0990MS"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Botany MS"
"0990PHD"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Botany PhD"
"0990"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Botany"
"3310"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"Far East. L&L - Buddhist"
"3310AM"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"Far East. L&L - Buddhist MA"
"3310PHD"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"Far East. L&L - Buddhist PhD"
"3330"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Chinese"
"3330AM"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Chinese MA"
"3330PHD"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Chinese PhD"
"3350"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Japanese"
"3350AM"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Japanese MA"
"3350PHD"	"Asian Lang"	"Asian Languages And Cultures"	"2007/06/06 00:00:00"	"100"	"F.E. L&L - Japanese PhD"
"4060AM"	"History De"	"History Department"	"2007/06/06 00:00:00"	"100"	"History Comparative Study MA"
"4620AM"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/06/06 00:00:00"	"100"	"Journalism MA"
"5350"	"Earth & En"	"Earth and Environmental Sciences"	"2007/06/06 00:00:00"	"100"	"Mineralogy"
"5350MS"	"Earth & En"	"Earth and Environmental Sciences"	"2007/06/06 00:00:00"	"100"	"Mineralogy MS"
"5350PHD"	"Earth & En"	"Earth and Environmental Sciences"	"2007/06/06 00:00:00"	"100"	"Mineralogy PhD"
"5830"	"N East Std"	"Near Eastern Studies Department"	"2007/06/06 00:00:00"	"100"	"Near East Lang & Lit"
"5830AM"	"N East Std"	"Near Eastern Studies Department"	"2007/06/06 00:00:00"	"100"	"Near East Lang & Lit MA"
"5830PHD"	"N East Std"	"Near Eastern Studies Department"	"2007/06/06 00:00:00"	"100"	"Near East Lang & Lit PhD"
"7420"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Plant Biology"
"7420MS"	"Biology De"	"Biology Department"	"2007/06/06 00:00:00"	"100"	"Plant Biology MS"
"0470MSI3"	"INFOR"	"School of Information"	"2007/07/02 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"4250MSI3"	"INFOR"	"School of Information"	"2007/07/02 00:00:00"	"100"	"Human Computer Interaction MSI"
"4550MSI5"	"INFOR"	"School of Information"	"2007/09/01 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4860MSI3"	"INFOR"	"School of Information"	"2007/07/02 00:00:00"	"100"	"Library & Information Serv MSI"
"0470MSI1"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"0470MSI2"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"0470MSI4"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"0470MSI5"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"0470MSI6"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"0470MSI7"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Archives & Records Mgmt MSI"
"4250MSI1"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4250MSI2"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4250MSI4"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4250MSI5"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4250MSI6"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4250MSI7"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Human Computer Interaction MSI"
"4550MSI1"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4550MSI2"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4550MSI3"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4550MSI4"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4550MSI6"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4550MSI7"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Inform Econ, Mgt & Policy MSI"
"4860MSI1"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"4860MSI2"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"4860MSI4"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"4860MSI5"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"4860MSI6"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"4860MSI7"	"INFOR"	"School of Information"	"2007/07/03 00:00:00"	"100"	"Library & Information Serv MSI"
"8170AM"	"Romance La"	"Romance Languages Department"	"2007/07/10 00:00:00"	"100"	"Rom Lang & Lit Rom Ling MA"
"9050PHD"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/07/10 00:00:00"	"100"	"Speech PhD"
"9050"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/07/10 00:00:00"	"100"	"Speech"
"9050AM"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/06/06 00:00:00"	"100"	"Speech MA"
"9230"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/07/10 00:00:00"	"100"	"Telecommunication Arts"
"9230AM"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/07/10 00:00:00"	"100"	"Telecommunication Arts MA"
"0190MS"	"CellDvBiol"	"Cell and Developmental Biology"	"2007/07/10 00:00:00"	"100"	"Anatomy & Cell Biology MS"
"6270MS"	"Ophthalmol"	"Ophthalmology Department"	"2007/07/10 00:00:00"	"100"	"Ophthalmology MS"
"2010AM"	"Department"	"Department Of Dance"	"2007/07/10 00:00:00"	"100"	"Dance MA"
"9280MFA"	"Music"	"School of Music, Theatre and Dance"	"2007/07/10 00:00:00"	"100"	"Theatre MFA"
"8530MS"	"PHARM"	"College Of Pharmacy"	"2007/07/10 00:00:00"	"100"	"Social & Admin Sciences MS"
"4030EDD"	"Hlth Beh&H"	"Health Behavior & Health Education Department"	"2007/06/06 00:00:00"	"100"	"Hlth Behavior & Hlth Educ EdD"
"7810AM"	"SPP"	"School Of Public Policy"	"2007/06/06 00:00:00"	"100"	"Public Administration MA"
"7880MPA"	"SPP"	"School Of Public Policy"	"2007/06/06 00:00:00"	"100"	"Public Policy MPA"
"7880MRP"	"SPP"	"School Of Public Policy"	"2007/06/06 00:00:00"	"100"	"Public Policy MRP"
"7880PHD"	"SPP"	"School Of Public Policy"	"2007/07/10 00:00:00"	"100"	"Public Policy PhD"
"0190"	"CellDvBiol"	"Cell and Developmental Biology"	"2007/07/10 00:00:00"	"100"	"Anatomy & Cell Biology"
"0190PHD"	"CellDvBiol"	"Cell and Developmental Biology"	"2007/07/10 00:00:00"	"100"	"Anatomy & Cell Biology PhD"
"0190PHD1"	"CellDvBiol"	"Cell and Developmental Biology"	"2007/07/10 00:00:00"	"100"	"Anatomy & Cell Biology PhD"
"0190PHD2"	"CellDvBiol"	"Cell and Developmental Biology"	"2007/07/10 00:00:00"	"100"	"Anatomy & Cell Biology PhD"
"2470AM"	"SOC WK"	"School Of Social Work"	"2007/07/10 00:00:00"	"100"	"Development & Population MA"
"3090EDD"	"ELandL"	"English Language & Literature Dept"	"2007/07/10 00:00:00"	"50"	"English and Education EdD"
"3090EDD"	"EDUC"	"School Of Education"	"2007/07/10 00:00:00"	"50"	"English and Education EdD"
"4220MS"	"Industrial"	"Industrial-Operations Engr Dep"	"2007/07/10 00:00:00"	"50"	"Hlth Serv Mgt & Ind Engin MS"
"4220MS"	"Health Man"	"Health Management And Policy"	"2007/07/10 00:00:00"	"50"	"Hlth Serv Mgt & Ind Engin MS"
"4080AM"	"History De"	"History Department"	"2007/07/10 00:00:00"	"100"	"History-Admin of Archives MA"
"4280AM"	"Industrial"	"Industrial-Operations Engr Dep"	"2007/07/10 00:00:00"	"50"	"Hospital Adm-Indust Engin MA"
"4280AM"	"PUB HL"	"School Of Public Health"	"2007/07/10 00:00:00"	"50"	"Hospital Adm-Indust Engin MA"
"4280MS"	"Industrial"	"Industrial-Operations Engr Dep"	"2007/07/10 00:00:00"	"50"	"Hospital Adm-Indust Engin MS"
"4280MS"	"PUB HL"	"School Of Public Health"	"2007/07/10 00:00:00"	"50"	"Hospital Adm-Indust Engin MS"
"6120"	"NURS"	"School Of Nursing"	"2007/07/10 00:00:00"	"100"	"Nurse Health Services Adm"
"6120MS"	"NURS"	"School Of Nursing"	"2007/07/10 00:00:00"	"100"	"Nurse Health Services Adm MS"
"6120MS1"	"NURS"	"School Of Nursing"	"2007/07/10 00:00:00"	"100"	"Nurse Health Services Adm MS"
"7280"	"Medical Sc"	"Medical School"	"2007/07/10 00:00:00"	"100"	"Physiological Acoustics"
"7280AM"	"Medical Sc"	"Medical School"	"2007/07/10 00:00:00"	"100"	"Physiological Acoustics MA"
"7280MS"	"Medical Sc"	"Medical School"	"2007/07/10 00:00:00"	"100"	"Physiological Acoustics MS"
"7280PHD"	"Medical Sc"	"Medical School"	"2007/07/10 00:00:00"	"100"	"Physiological Acoustics PhD"
"7980MRP"	"Urban Plan"	"Urban Planning"	"2007/07/10 00:00:00"	"100"	"Regional Planning MRP"
"8430"	"RACK"	"Graduate School"	"2007/07/10 00:00:00"	"100"	"Science For Teachers"
"8430AM"	"RACK"	"Graduate School"	"2007/07/10 00:00:00"	"100"	"Science For Teachers MA"
"9540"	"NR & E"	"Sch Of Nat Resources & Environ"	"2007/07/10 00:00:00"	"100"	"Water Resource Management"
"9540MS"	"NR & E"	"Sch Of Nat Resources & Environ"	"2007/07/10 00:00:00"	"100"	"Water Resource Management MS"
"9550"	"NR & E"	"Sch Of Nat Resources & Environ"	"2007/07/10 00:00:00"	"100"	"Water Resource Science"
"9550MS"	"NR & E"	"Sch Of Nat Resources & Environ"	"2007/07/10 00:00:00"	"100"	"Water Resource Science MS"
"9550PHD"	"NR & E"	"Sch Of Nat Resources & Environ"	"2007/07/10 00:00:00"	"100"	"Water Resource Science PhD"
"9280AM"	"Music"	"School of Music, Theatre and Dance"	"2007/07/10 00:00:00"	"100"	"Theatre MA"
"5980NUC"	"Nuclear En"	"Nuclear Engr & Radiological Sci"	"2007/07/06 00:00:00"	"100"	"Nuclear Engineering NucE"
"0030AER"	"Aerospace"	"Aerospace Engineering"	"2007/07/06 00:00:00"	"100"	"Aerospace Engineering AeroE"
"1550CE"	"Civil & En"	"Civil & Environmental Engr"	"2007/07/06 00:00:00"	"100"	"Civil Engineering CE"
"1250CHE"	"Chemical E"	"Chemical Engineering Department"	"2007/07/06 00:00:00"	"100"	"Chemical Engineering ChE"
"2800EE"	"Electrical"	"Electrical Engr & Computer Sci"	"2007/07/06 00:00:00"	"100"	"Electrical Engineering EE"
"4390IOP"	"Industrial"	"Industrial-Operations Engr Dep"	"2007/07/06 00:00:00"	"100"	"Industrial & Oper Eng IOP"
"5130ME"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"2007/07/06 00:00:00"	"100"	"Mechanical Engineering ME"
"5810MRE"	"Naval Arch"	"Naval Arch & Marine Engr Dept"	"2007/07/06 00:00:00"	"100"	"Naval Arch & Marine Eng MarE"
"5810NAV"	"Naval Arch"	"Naval Arch & Marine Engr Dept"	"2007/07/06 00:00:00"	"100"	"Naval Arch & Marine Eng NavArc"
"26303"	"EDUC"	"School Of Education"	"2007/06/30 00:00:00"	"100"	"Teaching Certificate Only"
"26304"	"EDUC"	"School Of Education"	"2007/06/30 00:00:00"	"100"	"Teaching Certificate Only"
"26308"	"EDUC"	"School Of Education"	"2007/06/30 00:00:00"	"100"	"Teaching Certificate Only"
"9090BSCLSA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Statistics BSChem"
"0640AM"	"ART"	"School Of Art And Design"	"2007/06/06 00:00:00"	"100"	"Art MA"
"2000AM"	"L S & A"	"College of Literature, Science, and the Arts"	"2007/06/06 00:00:00"	"100"	"Creative Writing MA"
"7740AM"	"Psychology"	"Psychology Department"	"2007/06/06 00:00:00"	"100"	"Psychology MA"
"5160MFA"	"ART"	"School Of Art And Design"	"2007/06/06 00:00:00"	"100"	"Med & Biol Illustration MFA"
"1980AM"	"ENGIN"	"College Of Engineering"	"2007/06/06 00:00:00"	"100"	"Construction Eng & Mgt MA"
"0300MS"	"Anthropolo"	"Anthropology Department"	"2007/06/06 00:00:00"	"100"	"Anthropology MS"
"7460MS"	"Political"	"Political Science Department"	"2007/06/06 00:00:00"	"100"	"Political Science MS"
"8030MS"	"Romance La"	"Romance Languages Department"	"2007/06/06 00:00:00"	"100"	"Rom Lang & Lit French MS"
"5200MSP"	"PHARM"	"College Of Pharmacy"	"2007/06/06 00:00:00"	"100"	"Medicinal Chemistry MSPharm"
"0960AM"	"Biostatist"	"Biostatistics Department"	"2007/06/06 00:00:00"	"100"	"Biostatistics MA"
"3570GC"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"100"	"Foundations of Public Health"
"PSJABLSA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BA"
"4030MPH3"	"Hlth Beh&H"	"Health Behavior & Health Education Department"	"1901/01/01 00:00:00"	"100"	"Hlth Behavior & Hlth Educ MPH"
"3280MPH2"	"Epidemiolo"	"Epidemiology Department"	"1901/01/01 00:00:00"	"100"	"Epidemiology MPH"
"3200MPH2"	"Environmen"	"Environmental Health Sciences"	"1901/01/01 00:00:00"	"100"	"Environmental Health Sci MPH"
"9370MUP2"	"A & UP"	"College of Architecture & Urban Planning"	"2006/09/04 00:00:00"	"100"	"Urban Planning MUP"
"9370MUP"	"A & UP"	"College of Architecture & Urban Planning"	"2006/09/04 00:00:00"	"100"	"Urban Planning MUP"
"9440MUP2"	"A & UP"	"College of Architecture & Urban Planning"	"1901/01/01 00:00:00"	"100"	"Urban & Regional Planning MUP"
"9440MUP3"	"A & UP"	"College of Architecture & Urban Planning"	"1901/01/01 00:00:00"	"100"	"Urban & Regional Planning MUP"
"9440MUP4"	"A & UP"	"College of Architecture & Urban Planning"	"1901/01/01 00:00:00"	"100"	"Urban & Regional Planning MUP"
"PSJBSLSA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"PSJBSAUP"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"PSJBFA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BFA"
"PSJBBA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BBA"
"PSJBSDH"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"PSJBDA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BDA"
"PSJBFAM"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BFA"
"PSJBMA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace &Soc Justice BMusA"
"PSJBMU"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace & Soc Justice BMus"
"PSJBSMUS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"PSJBTA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BTA"
"PSJBSEAER"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&Soc Just BSE Aero"
"PSJBSEAOS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&Soc Just BSE AOSS"
"PSJBSEBE"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&Soc Justice Bio E"
"PSJBSECE"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Pc&SocJust BSE Civ &Env"
"PSJBSECHE"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE Chem E"
"PSJBSECIV"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&SocJust BSE Civ E"
"PSJBSECOM"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE Comp E"
"PSJBSECS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE Comp S"
"PSJBSEELE"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE Elec E"
"PSJBSEEP"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&SocJust BSE E Phy"
"PSJBSEESS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace & Soc Just BSE ESS"
"PSJBSEIOP"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&SocJust SE Ind Op"
"PSJBSEMAT"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Min-Peace&SocJust BSE Mat Sc&E"
"PSJBSEMEC"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE Mech E"
"PSJBSENAV"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&SocJust BSE NAME"
"PSJBSENER"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace&SocJust  BSE NucE"
"PSJBSENG"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor-Peace&Soc Justice BS Eng"
"PSJAB"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BA"
"PSJBS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"PSJBNU"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Peace & Soc Justice BS"
"4490MS"	"Medical Sc"	"Medical School Administration"	"1901/01/01 00:00:00"	"100"	"Immunology MS"
"4490MS"	"Microbiolo"	"Microbiology And Immunology"	"1901/01/02 00:00:00"	"100"	"Immunology MS"
"9360MPH"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Toxicology MPH"
"FFSBSCLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Frn St BSChem"
"3600BSCLSA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"French BSChem"
"4510MPH"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"International Health MPH"
"09601"	"Biostatist"	"Biostatistics Department"	"2007/09/03 00:00:00"	"100"	"Biostatistics"
"40301"	"Hlth Beh&H"	"Health Behavior & Health Education Department"	"2007/09/03 00:00:00"	"100"	"Hlth Behavior & Hlth Educ"
"4070"	"Health Man"	"Health Management And Policy"	"2007/09/03 00:00:00"	"100"	"Health Policy"
"4290"	"Epidemiolo"	"Epidemiology Department"	"2007/09/03 00:00:00"	"100"	"Hosp & Molecular Epidem"
"44201"	"Environmen"	"Environmental Health Sciences"	"2007/09/03 00:00:00"	"100"	"Industrial Health"
"4510"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"International Health"
"46501"	"Epidemiolo"	"Epidemiology Department"	"2007/09/03 00:00:00"	"100"	"Lab Prac Epidemiology"
"7490"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Pop Plan & Int Health"
"78301"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Public Health"
"78601"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Pub Health Policy & Admin"
"93601"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Toxicology"
"32001"	"PUB HL"	"School Of Public Health"	"2007/09/03 00:00:00"	"100"	"Environmental Health Sci"
"5740MS7"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"100"	"Natural Res & Environment MS"
"5740MS8"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"100"	"Natural Res & Environment MS"
"5740MS9"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"100"	"Natural Res & Environment MS"
"5130MSE2"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"1901/01/01 00:00:00"	"100"	"Mechanical Engineering MSE"
"1250MSE2"	"Chemical E"	"Chemical Engineering Department"	"1901/01/01 00:00:00"	"100"	"Chemical Engineering MSE"
"3170MSE2"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"100"	"Environmental Engineering MSE"
"1550MSE1"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"100"	"Civil Engineering MSE"
"11605"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"100"	"Business Administration"
"INTENGAER"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE Aero"
"INTENGAOSS"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE AOSS"
"INTENGBE"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE BioE"
"INTENGCE"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE C&E"
"INTENGCHE"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSEChemE"
"INTENGCIV"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE CivE"
"INTENGCOM"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSECompE"
"INTENGCS"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSECompS"
"INTENGELE"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSEElecE"
"INTENGEP"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE EPhy"
"INTENGIOP"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSEIndOp"
"INTENGMAT"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE MatS"
"INTENGMEC"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSEMechE"
"INTENGNAV"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE NAME"
"INTENGNER"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE NucE"
"INTENGENG"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BS Eng"
"INTENGESS"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Minor -Internat Engin BSE ESS"
"MEMSBSECHE"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -Med & Early ModBSEChemE"
