"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"999021PHD"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"50"	"ScrArtsCult&AsLangCults PhD"
"999022PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"Soc&BusAd PhD"
"999022PHD"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"50"	"Soc&BusAd PhD"
"999023PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"Soc&HlthSvcsOrgPlcy PhD"
"999023PHD"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"50"	"Soc&HlthSvcsOrgPlcy PhD"
"999024PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"Soc&NatResEnv PhD"
"999024PHD"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"50"	"Soc&NatResEnv PhD"
"999025PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"Soc&Stat PhD"
"999025PHD"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"50"	"Soc&Stat PhD"
"999026PHD"	"SOC WK"	"School Of Social Work"	"1901/01/01 00:00:00"	"50"	"SoclWkSocl Scis&AmCult PhD"
"999026PHD"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"50"	"SoclWkSocl Scis&AmCult PhD"
"0030BSE1"	"Aerospace"	"Aerospace Engineering"	"1901/01/01 00:00:00"	"100"	"Aerospace Engineering  BSE"
"0720BS1"	"Atm, Ocean"	"Atm, Oceanic And Space Science"	"1901/01/01 00:00:00"	"100"	"Atmos Ocean & Space Sc BS"
"0880BSE1"	"Biomedical"	"Biomedical Engineering"	"1901/01/01 00:00:00"	"100"	"Biomedical Engineering BSE"
"1250BSE1"	"Chemical E"	"Chemical Engineering Department"	"1901/01/01 00:00:00"	"100"	"Chemical Engineering BSE"
"1500BSE1"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"100"	"Civil & Environmental Eng BSE"
"1550BSE1"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"100"	"Civil Engineering BSE"
"1860BSE1"	"Electrical"	"Electrical Engr & Computer Sci"	"1901/01/01 00:00:00"	"100"	"Computer Engineering BSE"
"1930BSE1"	"Electrical"	"Electrical Engr & Computer Sci"	"1901/01/01 00:00:00"	"100"	"Computer Science BSE"
"2610BSE1"	"Atm, Ocean"	"Atm, Oceanic And Space Science"	"1901/01/01 00:00:00"	"100"	"Earth Sys Sc & Eng BSE"
"2800BSE1"	"Electrical"	"Electrical Engr & Computer Sci"	"1901/01/01 00:00:00"	"100"	"Electrical Engineering BSE"
"2890BSE1"	"ENGIN"	"College Of Engineering"	"1901/01/01 00:00:00"	"100"	"Engineering BS"
"2990BSE1"	"Nuclear En"	"Nuclear Engr & Radiological Sci"	"1901/01/01 00:00:00"	"100"	"Engineering Physics BSE"
"4390BSE1"	"Industrial"	"Industrial-Operations Engr Dep"	"1901/01/01 00:00:00"	"100"	"Industrial & Oper Eng BSE"
"5040BSE1"	"Mat Sc & E"	"Materials Science & Engineering"	"1901/01/01 00:00:00"	"100"	"Materials Science & Engin BSE"
"5130BSE1"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"1901/01/01 00:00:00"	"100"	"Mechanical Engineering BSE"
